0.000000, 6.465410, 0.063141, 5.531925, 1.106385
0.100000, 6.373256, 0.143602, 2.690926, 0.538185
0.200000, 6.369971, 0.141208, 1.131681, 0.226336
0.300000, 6.338150, 0.119763, 0.341504, 0.068301
0.400000, 6.240775, 0.118288, -188730.388288, -37746.077658
0.500000, 6.086019, 0.117270, 0.881461, 0.176292
0.600000, 5.887317, 0.115355, -34353.286734, -6870.657347
0.700000, 5.655881, 0.112967, 0.464171, 0.092834
0.800000, 5.399212, 0.110199, 0.244708, 0.048942
0.900000, 5.122295, 0.107124, 0.338137, 0.067627
1.000000, 1.000000, 1.000000, 1.000000, 1.000000
0.000000, 6.605131, 0.012685, 5.091366, 1.018273
0.100000, 6.266598, 0.119824, 4.274720, 0.854944
0.200000, 6.265440, 0.117481, 5.065054, 1.013011
0.000000, 5.926693, 0.099695, 4.967103, 0.993421
0.100000, 5.449960, 0.285406, 4.285211, 0.857042
0.200000, 5.446606, 0.284026, 5.068946, 1.013789
0.300000, 5.424684, 0.271290, 5.070399, 1.014080
0.400000, 5.350322, 0.244972, 5.069977, 1.013995
0.500000, 5.226974, 0.239602, 5.065199, 1.013040
0.600000, 5.065958, 0.238121, 4.282879, 0.856576
0.700000, 4.874079, 0.232520, 4.284940, 0.856988
0.800000, 4.654906, 0.225013, 4.285333, 0.857067
0.900000, 4.413414, 0.216568, 4.291773, 0.858355
1.000000, 4.153138, 0.207332, 3.515389, 0.703078
0.000000, 5.924634, 0.360497, 5.625360, 1.125072
0.100000, 5.906342, 0.478050, 5.061738, 1.012348
0.200000, 5.900217, 0.475877, 5.842629, 1.168526
0.300000, 5.869637, 0.459665, 5.843198, 1.168640
0.400000, 5.778714, 0.429460, 5.843771, 1.168754
0.500000, 5.637926, 0.403219, 5.064524, 1.012905
0.600000, 5.460157, 0.401544, 5.073904, 1.014781
0.700000, 5.253486, 0.396970, 5.085424, 1.017085
0.800000, 5.023953, 0.390230, 5.095646, 1.019129
0.900000, 4.775007, 0.380190, 4.325161, 0.865032
1.000000, 4.507579, 0.359608, 4.327454, 0.865491
0.000000, 5.959813, 0.009946, 4.746779, 0.949356
0.100000, 5.644960, 0.116283, 4.279668, 0.855934
0.200000, 5.541594, 0.097273, 4.287216, 0.857443
0.300000, 5.231236, 0.095475, 4.282077, 0.856415
0.400000, 4.790527, 0.091276, 4.283679, 0.856736
0.500000, 4.265935, 0.084707, 3.514047, 0.702809

ps
0.000000, 6.674844, 0.003931, 4.758971, 0.951794
0.500000, 5.731829, 0.074653, 5.070771, 1.014154
1.000000, 4.538221, 0.064980, 4.262985, 0.852597
1.500000, 2.888429, 0.042196, 2.433003, 0.486601
2.000000, 0.848843, 0.012400, 0.681832, 0.136366
2.500000, 1.000000, 1.000000, 1.000000, 1.000000
ps0.000000, 11.512600, 0.695702, 5.829463, 1.943154
0.000000, 11.512792, 0.096318, 5.078121, 1.692707
0.000000, 11.512299, 0.414564, 4.664538, 1.554846
0.000000, 11.512492, 2.322848, 5.891184, 1.963728

0.000000, 11.512288, 0.073854, 4.903933, 1.634644
0.500000, 5.906151, 0.170878, 4.913733, 1.637911
1.000000, 5.473759, 0.143369, 4.444740, 1.481580
1.500000, 4.755777, 0.134745, 3.857559, 1.285853
2.000000, 3.883542, 0.119904, 3.255420, 1.085140
2.500000, 2.902766, 0.096009, 2.317121, 0.772374
3.0000, 0.730178,
3.437500
0.000000, 6.446303, 0.043699, 4.483818, 1.494606
0.500000, 6.300115, 0.055272, 4.446534, 1.482178
1.000000, 5.833773, 0.052329, 4.445649, 1.481883
1.500000, 5.051776, 0.047894, 3.967176, 1.322392
2.000000, 4.108043, 0.042444, 3.018131, 1.006044
2.500000, 3.057826, 0.034922, 2.534760, 0.844920
3.437500
0.000000, 5.660471, 0.073597, 4.548077, 1.516026
0.500000, 5.422527, 0.229791, 4.443522, 1.481174
1.000000, 5.031739, 0.180080, 4.442737, 1.480912
1.500000, 4.358788, 0.169640, 3.961189, 1.320396
2.000000, 3.532378, 0.150039, 2.789073, 0.929691
2.500000, 2.592416, 0.116647, 2.335096, 0.778365
3.000000, 1.520457, 0.068414, 1.355167, 0.451722
3.500000, 0.984490, 0.163800, 0.941351, 0.313784
3.437500
